mother_pid,wav,child_pid,child_wav,child_age,child_gender,child_enroll,mother_wav,mother_edu,mother_birthy,mother_pa401ccode,mother_birth_prov
130480101.0,2018,130480103.0,2018.0,13.0,1.0,1.0,2018.0,,1973.0,,
130480101.0,2018,130480103.0,2018.0,13.0,1.0,1.0,2018.0,,1973.0,,
130486103.0,2018,130486104.0,2018.0,12.0,1.0,1.0,2018.0,3.0,,,
130486103.0,2018,130486104.0,2018.0,12.0,1.0,1.0,2018.0,3.0,,,
130488101.0,2018,130488103.0,2018.0,19.0,1.0,1.0,2018.0,5.0,1974.0,,
130489101.0,2018,130489105.0,2018.0,15.0,1.0,1.0,2018.0,5.0,1974.0,,
130489101.0,2018,130489105.0,2018.0,15.0,1.0,1.0,2018.0,5.0,1974.0,,
130491101.0,2018,130491104.0,2018.0,11.0,1.0,1.0,2018.0,3.0,1968.0,,
130491101.0,2018,130491104.0,2018.0,11.0,1.0,1.0,2018.0,3.0,1968.0,,
130496102.0,2018,130496103.0,2018.0,19.0,0.0,1.0,2018.0,7.0,1974.0,,
130505207.0,2018,130505103.0,2018.0,12.0,1.0,1.0,2018.0,5.0,,,
130505207.0,2018,130505103.0,2018.0,12.0,1.0,1.0,2018.0,5.0,,,
130506102.0,2018,130506103.0,2018.0,15.0,1.0,1.0,2018.0,3.0,1981.0,,
130506102.0,2018,130506103.0,2018.0,15.0,1.0,1.0,2018.0,3.0,1981.0,,
130512103.0,2018,130512105.0,2018.0,10.0,1.0,1.0,2018.0,,1981.0,,
130512103.0,2018,130512105.0,2018.0,10.0,1.0,1.0,2018.0,,1981.0,,
130518101.0,2018,130518103.0,2018.0,15.0,1.0,1.0,2018.0,3.0,1979.0,,
130518101.0,2018,130518103.0,2018.0,15.0,1.0,1.0,2018.0,3.0,1979.0,,
130523101.0,2018,130523103.0,2018.0,13.0,0.0,1.0,2018.0,,1973.0,,
130523101.0,2018,130523103.0,2018.0,13.0,0.0,1.0,2018.0,,1973.0,,
130527102.0,2018,130527103.0,2018.0,17.0,1.0,1.0,2018.0,4.0,1980.0,,
130534102.0,2018,130534103.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1984.0,,
130534102.0,2018,130534103.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1984.0,,
130545101.0,2018,130545103.0,2018.0,18.0,0.0,1.0,2018.0,0.0,1972.0,,
130558101.0,2018,130558103.0,2018.0,18.0,0.0,0.0,2018.0,3.0,1966.0,,
130563102.0,2018,130563103.0,2018.0,14.0,0.0,1.0,2018.0,10.0,1981.0,,
130563102.0,2018,130563103.0,2018.0,14.0,0.0,1.0,2018.0,10.0,1981.0,,
130571102.0,2018,130571103.0,2018.0,10.0,1.0,1.0,2018.0,4.0,1982.0,,
