mother_pid,wav,child_pid,child_birth_y,child_gender,child_age,child_enroll,child_math,child_eduy,child_wav,mother_birth_y,mother_gender,mother_age,mother_eth,mother_birth_prov,mother_enroll2,mother_eduy,mother_wav
140192102.0,2018,140192103.0,2008.0,0.0,10.0,1.0,2.0,3.0,2018.0,1988.0,0.0,30.0,,,0.0,7.0,2018.0
140200104.0,2018,140200105.0,2003.0,1.0,15.0,1.0,3.0,9.0,2018.0,,0.0,36.0,,,0.0,9.0,2018.0
140203104.0,2018,140203105.0,2005.0,0.0,13.0,1.0,4.0,7.0,2018.0,1985.0,0.0,33.0,,,0.0,9.0,2018.0
140210102.0,2018,140210103.0,2006.0,1.0,12.0,1.0,3.0,6.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
140217102.0,2018,140217103.0,2004.0,0.0,14.0,1.0,3.0,8.0,2018.0,,0.0,44.0,,,0.0,6.0,2018.0
140222105.0,2018,140222106.0,2008.0,0.0,10.0,1.0,2.0,4.0,2018.0,1986.0,0.0,32.0,,,0.0,12.0,2018.0
140345101.0,2018,140345103.0,2007.0,1.0,11.0,1.0,1.0,5.0,2018.0,1984.0,0.0,34.0,,,0.0,9.0,2018.0
140347102.0,2018,140347106.0,2006.0,0.0,12.0,1.0,1.0,6.0,2018.0,1985.0,0.0,33.0,,,0.0,9.0,2018.0
140357101.0,2018,140357104.0,2007.0,0.0,11.0,1.0,1.0,5.0,2018.0,1987.0,0.0,31.0,,,0.0,9.0,2018.0
140359102.0,2018,140359103.0,2004.0,0.0,14.0,1.0,3.0,8.0,2018.0,1983.0,0.0,35.0,,,0.0,9.0,2018.0
140376104.0,2018,140376105.0,2005.0,1.0,13.0,1.0,2.0,7.0,2018.0,,,,,,,,
140486102.0,2018,140486103.0,2007.0,1.0,11.0,1.0,3.0,5.0,2018.0,1976.0,0.0,42.0,,,0.0,9.0,2018.0
140517105.0,2018,140517106.0,2006.0,0.0,12.0,1.0,4.0,5.0,2018.0,,,,,,,,
140523104.0,2018,140523106.0,2003.0,0.0,15.0,1.0,3.0,8.0,2018.0,1974.0,0.0,44.0,,,0.0,0.0,2018.0
140545101.0,2018,140545103.0,2005.0,0.0,13.0,1.0,3.0,7.0,2018.0,1983.0,0.0,35.0,,,0.0,9.0,2018.0
140600101.0,2018,140600103.0,2007.0,0.0,11.0,1.0,3.0,6.0,2018.0,1986.0,0.0,32.0,,,0.0,9.0,2018.0
