mother_pid,wav,child_pid,child_age,child_gender,child_birth_prov,child_eth,child_enroll,child_math,child_eduy,child_wav,mother_age,mother_gender,mother_birth_prov,mother_eth,mother_enroll2,mother_eduy,mother_wav
210933104.0,2016,210933105.0,11.0,1.0,,,1.0,2.0,0.0,2016.0,32.0,0.0,,,0.0,,2016.0
210966105.0,2016,210966103.0,10.0,1.0,,,1.0,2.0,3.0,2016.0,37.0,0.0,,,0.0,15.0,2016.0
211044101.0,2016,211044102.0,13.0,1.0,,,1.0,1.0,7.0,2016.0,40.0,0.0,,,0.0,9.0,2016.0
211078105.0,2016,211078103.0,15.0,0.0,,,1.0,2.0,8.0,2016.0,42.0,0.0,,,0.0,12.0,2016.0
211097101.0,2016,211097103.0,15.0,0.0,,,1.0,1.0,9.0,2016.0,40.0,0.0,,,0.0,9.0,2016.0
211114102.0,2016,211114103.0,12.0,1.0,,,1.0,2.0,6.0,2016.0,37.0,0.0,,11.0,0.0,,2016.0
211190101.0,2016,211190103.0,11.0,1.0,,,1.0,1.0,4.0,2016.0,44.0,0.0,,,0.0,9.0,2016.0
211191104.0,2016,211191105.0,15.0,0.0,,,1.0,3.0,11.0,2016.0,40.0,0.0,,,0.0,7.0,2016.0
211193104.0,2016,211193105.0,15.0,0.0,,,1.0,4.0,9.0,2016.0,39.0,0.0,,,0.0,9.0,2016.0
211200101.0,2016,211200103.0,15.0,0.0,,,1.0,1.0,8.0,2016.0,38.0,0.0,,,0.0,9.0,2016.0
211214104.0,2016,211214105.0,11.0,0.0,,,1.0,2.0,5.0,2016.0,33.0,0.0,,,0.0,9.0,2016.0
211249101.0,2016,211249103.0,12.0,1.0,,,1.0,3.0,6.0,2016.0,37.0,0.0,,,0.0,12.0,2016.0
211294101.0,2016,211294583.0,11.0,0.0,,1.0,1.0,1.0,4.0,2016.0,37.0,0.0,,,0.0,12.0,2016.0
211298102.0,2016,211298103.0,10.0,1.0,,,1.0,1.0,4.0,2016.0,37.0,0.0,,,0.0,9.0,2016.0
211326104.0,2016,211326105.0,10.0,1.0,,38.0,1.0,1.0,4.0,2016.0,34.0,0.0,,,0.0,15.0,2016.0
211408106.0,2016,211408107.0,12.0,1.0,,,1.0,2.0,6.0,2016.0,31.0,0.0,,,0.0,6.0,2016.0
211422103.0,2016,211422104.0,15.0,0.0,,,1.0,1.0,9.0,2016.0,36.0,0.0,,,0.0,6.0,2016.0
211427104.0,2016,211427105.0,14.0,1.0,,,1.0,4.0,7.0,2016.0,33.0,0.0,,,0.0,9.0,2016.0
211460104.0,2016,211460105.0,10.0,0.0,,,1.0,3.0,4.0,2016.0,32.0,0.0,,,0.0,9.0,2016.0
211465104.0,2016,211465105.0,11.0,1.0,,,1.0,2.0,4.0,2016.0,33.0,0.0,,,0.0,6.0,2016.0
211472101.0,2016,211472103.0,11.0,0.0,,,1.0,3.0,5.0,2016.0,32.0,0.0,,,0.0,9.0,2016.0
211473102.0,2016,211473103.0,13.0,1.0,,,1.0,1.0,6.0,2016.0,37.0,0.0,,,0.0,9.0,2016.0
211477101.0,2016,211477103.0,12.0,1.0,,,1.0,2.0,6.0,2016.0,35.0,0.0,,,0.0,9.0,2016.0
211478101.0,2016,211478103.0,14.0,0.0,,,1.0,1.0,7.0,2016.0,36.0,0.0,,,0.0,9.0,2016.0
211496104.0,2016,211496106.0,13.0,0.0,,,1.0,3.0,7.0,2016.0,37.0,0.0,,,0.0,6.0,2016.0
211518104.0,2016,211518105.0,14.0,0.0,,,1.0,1.0,8.0,2016.0,39.0,0.0,,,0.0,12.0,2016.0
