mother_pid,wav,child_pid,child_birth_y,child_age,child_gender,child_enroll,child_math,child_enroll2,child_eduy,child_wav,mother_birth_y,mother_age,mother_gender,mother_eth,mother_enroll2,mother_eduy,mother_birth_prov,mother_wav
410909104.0,2014,410909105.0,2003.0,11.0,1.0,1.0,1.0,1.0,4.0,2014.0,1979.0,35.0,0.0,,0.0,0.0,,2014.0
410913104.0,2014,410913105.0,2000.0,14.0,1.0,1.0,4.0,1.0,7.0,2014.0,,,,,,,,
410914104.0,2014,410914105.0,2000.0,14.0,1.0,1.0,1.0,1.0,7.0,2014.0,1978.0,36.0,0.0,,0.0,15.0,,2014.0
410920101.0,2014,410920103.0,2001.0,13.0,0.0,1.0,2.0,1.0,6.0,2014.0,1980.0,34.0,0.0,,0.0,9.0,,2014.0
410925101.0,2014,410925103.0,2004.0,10.0,0.0,1.0,1.0,1.0,2.0,2014.0,1981.0,33.0,0.0,,0.0,0.0,,2014.0
410929108.0,2014,410929109.0,2002.0,12.0,1.0,1.0,1.0,1.0,1.0,2014.0,,,,,,,,
410949102.0,2014,410949104.0,2003.0,11.0,0.0,1.0,4.0,1.0,5.0,2014.0,1978.0,36.0,0.0,,0.0,0.0,,2014.0
410950104.0,2014,410950105.0,2001.0,13.0,1.0,1.0,1.0,,8.0,2014.0,1975.0,39.0,0.0,,0.0,6.0,,2014.0
410954104.0,2014,410954105.0,2004.0,10.0,1.0,1.0,2.0,,4.0,2014.0,1977.0,37.0,0.0,,0.0,12.0,,2014.0
410955104.0,2014,410955105.0,1999.0,15.0,1.0,1.0,2.0,1.0,8.0,2014.0,1976.0,38.0,0.0,,0.0,9.0,,2014.0
410964104.0,2014,410964105.0,2003.0,11.0,0.0,1.0,3.0,1.0,3.0,2014.0,1986.0,28.0,0.0,,0.0,12.0,,2014.0
410970105.0,2014,410970106.0,1999.0,15.0,1.0,1.0,2.0,1.0,7.0,2014.0,1979.0,35.0,0.0,,0.0,12.0,,2014.0
